88.34;13.3;176Lu;3.78E+10;y
88.34;8.9;176Lu;3.635;h
88.34;12;176Ta;8.09;h
88.4;1;156Tb;5.3;h
88.46;0.092;123Te;119.7;d
88.867;64.4;178Ta;2.36;h
88.9667;8.4;156Eu;15.19;d
88.9667;17.7;156Tb;5.35;d
89.36;2.40;175Hf;70;d
89.65;0.0006;99Mo(via 99Tc);2.111E+5;y
89.65;1.0;99Tc;6.01;h
89.65;33.4;99Rh;16.1;d
89.8492;70;152Eu;96;m
89.9;79.5;120Sb;5.76;d
89.944;0.94;231Th;25.52;h
90.3;5.0;173Ta;3.14;h
90.596;0.563;122Xe;20.1;h
91.00;16.0;174Ta;1.05;h
91.105;28;147Nd;10.98;d
91.266;7.0;67Cu;61.83;h
91.40;7;164Tm;2.0;m
92.38;2.81;234Th;24.10;d
92.80;2.77;234Th;24.10;d
93.124;4.8;107Cd;6.50;h
93.180;6.0;178Lu;28.4;m
93.311;16.1;67Cu;61.83;h
93.311;39.2;67Ga;3.2612;d
93.326;4.5;180Ta;8.152;h
93.88;33.1;116Te;2.49;h
94.33;7.6;189Pt;10.87;h
94.66;0.6;237Np;2.144E+6;y
94.700;3.58;165Dy;2.334;h
94.86;153;176W;2.5;h
96;0.012;246Cf;35.7;h
96.28;0.036;252Fm;25.39;h
96.5;0.31;97Tc;90.1;d
96.75;0.116;111Ag;7.45;d
97.134;0.020;233U;1.592E+5;y
97.1949;69.3;198Au;2.27;d
97.261;45;133Ce;97;m
97.4;4.2;185Ir;14.4;h
97.43100;0.846;153Sm;46.284;h
97.43100;29;153Gd;240.4;d
98.0;3.72;132I;1.387;h
98.8;0.0007;102Rh;2.9;y
98.85;10;195Ir;2.5;h
98.85;10;195Ir;3.8;h
98.85;11.4;195Pt;4.02;d
98.85;10.9;195Au;186.09;d
98.860;1.5;240Am;50.8;h
98.860;0.00162;244Cm;18.10;y
98.918;4.29;158Tb;180;y
98.918;700;158Ho;11.3;m
99.163;0.031;254Fm;3.240;h
99.362;1.07;186Re;2.0E+5;y
99.383;4.6;244Am;10.1;h
99.5;0.11;221Fr;4.9;m
99.63;0.62;225Ac;10.0;d
99.659;10.51;153Dy;6.4;h
99.853;0.00735;238Pu;87.7;y
99.91;1.01;225Ac;10.0;d
100;0.0009;195Ir;3.8;h
100;0.009;227Ac;21.773;y
100.20;1816;176W;2.5;h
100.4;0.013;252Cf;2.645;y
100.70;0.017;180Hf;5.5;h
100.724;5.24;173Lu;1.37;y
101.25;0.0012;193Hg;11.8;h
101.90;0.0025;242Cm;162.8;d
102.2564;6.4;153Tb;2.34;d
102.32;1.88;252Es;471.7;d
102.82;0.85;236Np;1.54E+5;y
103.01;1.98;116Te;2.49;h
103.062;3.9;161Ho;2.48;h
103.1;0.39;245Bk;4.94;d
103.14;2.32;72Zn;46.5;h
103.18012;30;153Sm;46.284;h
103.18012;21.11;153Gd;240.4;d
103.50;0.0078;242Pu;3.733E+5;y
103.557;0.81;180Ta;8.152;h
103.680;.0001017;241Pu;14.35;y
104.0;0.0102;254Es;39.3;h
104.1;1.0;236Np;1.54E+5;y
104.234;1.0;236Np;22.5;h
104.234;7.2;236Np;1.54E+5;y
104.234;0.00708;240Pu;6563;y
104.320;18.6;163Tm;1.810;h
104.4;0.62;257Fm;100.5;d
104.62;0.539;91Nb;60.86;d
104.729;13.4;184Re;169;d
104.819;3.7;230Pa;17.4;d
105.305;21.2;155Eu;4.7611;y
105.305;25;155Tb;5.32;d
105.50;0.145;129Te;33.6;d
105.604;7.0;230Pa;17.4;d
105.88;0.299;220Fr;27.4;s
106;0.0044;210At;8.1;h
106.125;27.2;239Np;2.3565;d
106.46;9.0;187Pt;2.35;h
107.9322;11.0;183Ta;5.1;d
108.088;24.3;151Tb;17.609;h
108.582;2.69;230Pa;17.4;d
108.90;10.4;66Ge;2.26;h
108.96;0.012;236Pu;2.858;y
109.276;0.274;125Te;57.40;d
109.69;0.024;242Am;141;y
109.7601;6.76;153Tb;2.34;d
109.77987;0.0013;169Er;9.40;d
109.77987;17.47;169Yb;32.026;d
110.04;5.7;187Pt;2.35;h
111.12;13.1;222Fr;14.2;m
111.12;3.29;226Th;30.57;m
111.208;23.7;184Ta;8.7;h
111.208;17.1;184Re;38.0;d
111.621;20.5;171Er;7.516;h
111.73;0.298;174Lu;142;d
111.76;1.74;132Te;3.204;d
112.36;96.0;48Cr;21.56;h
112.75;0.019;236U;2.342E+7;y
112.81;0.277;234Th;24.10;d
112.9498;6.4;177Lu;6.734;d
112.9498;7.2;177Ta;56.56;h
113.5;0.0102;238U;4.468E+9;y
113.805;1.88;175Yb;4.185;d
113.94;40;139Nd;5.50;h
114.314;19.2;149Nd;1.728;h
114.3152;2.6;182Hf;9E+6;y
114.3152;6.2;182Hf;61.5;m
